Date,Closing Price (Approx 5-6 PM EST),Score
14 Feb 2026,4948.4,6
15 Feb 2026,5046.3,6
16 Feb 2026,5046.3,4
17 Feb 2026,4905.9,1
18 Feb 2026,5009.5,6
19 Feb 2026,4997.4,2
20 Feb 2026,4997.4,6
21 Feb 2026,4997.4,6
22 Feb 2026,5080.9,6
24 Feb 2026,5176.3,4
25 Feb 2026,5226.2,0
26 Feb 2026,5194.2,2
27 Feb 2026,5194.2,4
28 Feb 2026,5194.2,4
1 Mar 2026,5247.9,4
2 Mar 2026,5311.6,4
3 Mar 2026,5123.7,4
4 Mar 2026,5134.7,4
5 Mar 2026,5078.7,-3
6 Mar 2026,5078.7,2
7 Mar 2026,5078.7,-3
8 Mar 2026,5158.7,-3
9 Mar 2026,5103.7,-3
10 Mar 2026,5242.1,-1
11 Mar 2026,5179.1,1
12 Mar 2026,5125.8,-2
13 Mar 2026,5125.8,-4
14 Mar 2026,5125.8,-4
15 Mar 2026,5061.7,-4
16 Mar 2026,5002.2,-2
17 Mar 2026,5008.2,-2
18 Mar 2026,4896.2,-4
