Date,Closing Price (Approx 5-6 PM EST),Score
12 Jan 2026,1.1638733,5
13 Jan 2026,1.1674061,4
14 Jan 2026,1.1646867,4
16 Jan 2026,1.1610357,-2
17 Jan 2026,1.1610357,-2
18 Jan 2026,1.1610357,-2
19 Jan 2026,1.160362,-2
20 Jan 2026,1.1649581,-2
21 Jan 2026,1.1727453,-2
22 Jan 2026,1.1690437,2
23 Jan 2026,1.1759173,5
24 Jan 2026,1.1759173,5
25 Jan 2026,1.1759173,5
26 Jan 2026,1.1823126,5
27 Jan 2026,1.1882129,5
28 Jan 2026,1.204384,5
29 Jan 2026,1.1960292,6
30 Jan 2026,1.1971747,6
31 Jan 2026,1.1971747,6
1 Feb 2026,1.1971747,4
2 Feb 2026,1.185396,1
3 Feb 2026,1.1793844,1
4 Feb 2026,1.1825923,2
5 Feb 2026,1.1810559,-3
6 Feb 2026,1.1785504,-3
7 Feb 2026,1.1785504,-3
8 Feb 2026,1.1785504,-3
9 Feb 2026,1.1820331,-2
10 Feb 2026,1.1920371,0
11 Feb 2026,1.1896265,1
12 Feb 2026,1.1877896,1
13 Feb 2026,1.1872255,1
14 Feb 2026,1.1872255,1
15 Feb 2026,1.1872255,1
16 Feb 2026,1.1870846,-4
17 Feb 2026,1.1849744,0
18 Feb 2026,1.185677,-4
19 Feb 2026,1.1788282,-6
20 Feb 2026,1.1773016,-7
21 Feb 2026,1.1773016,-7
22 Feb 2026,1.1773016,-8
24 Feb 2026,1.1791062,-8
25 Feb 2026,1.1778563,-7
26 Feb 2026,1.1817538,-8
27 Feb 2026,1.1803589,-6
28 Feb 2026,1.1803589,-6
1 Mar 2026,1.1803589,-5
2 Mar 2026,1.1817538,-6
3 Mar 2026,1.1691804,-6
4 Mar 2026,1.16171,-5
5 Mar 2026,1.1637379,-6
6 Mar 2026,1.1615751,-2
7 Mar 2026,1.1615751,-4
8 Mar 2026,1.1615751,-4
9 Mar 2026,1.1621151,-4
10 Mar 2026,1.1636026,-4
11 Mar 2026,1.1614401,-6
12 Mar 2026,1.1570057,-6
13 Mar 2026,1.1516757,-7
14 Mar 2026,1.1516757,-7
15 Mar 2026,1.1516757,-7
16 Mar 2026,1.1423349,-6
17 Mar 2026,1.1510129,-6
18 Mar 2026,1.1542013,-7
